isin,as_of,mix
INE002A07809,30/06/2026,"Insurance 81%, PF/Pension 18%, MF 1.1%, Corporates 0.1%, Trusts 0.1%"
INE002A08534,30/06/2026,"Govt 44%, PF/Pension 23%, Insurance 17%, MF 7.4%, Banks 6%, Trusts 1.4%, others 0.6%"
INE002A08542,30/06/2026,"MF 43%, PF/Pension 36%, Insurance 12%, Trusts 6%, FPI 3%, Corporates 0.2%"
INE002A08567,30/06/2026,"PF/Pension 43%, MF 30%, Govt 10%, Insurance 10%, Banks 3.7%, FPI 1.8%, others 1.9%"
INE002A08690,30/06/2026,"Insurance 75%, MF 25%"
INE002L08010,30/06/2026,"Banks 96%, Corporates 2.5%, Insurance 1%"
INE003L07200,30/06/2026,"AIF 47%, Corporates 30%, Individuals 23%"
INE00DJ07052,30/06/2026,"Corporates 60%, Individuals 40%, NRIs 0.2%"
INE00GW07017,30/06/2026,"Corporates 99%, AIF 0.9%"
INE00K807019,30/06/2026,"AIF 83%, Corporates 12%, Individuals 5%"
INE00MX08086,30/06/2026,"Individuals 72%, Corporates 27%, NRIs 0.7%"
INE00V208124,30/06/2026,"MF 88%, Banks 6.2%, NBFC 6.2%"
INE00V208132,30/06/2026,MF 100%
INE00V208140,30/06/2026,"Banks 49%, MF 31%, Insurance 20%"
INE00XL07015,30/06/2026,"Banks 62%, Individuals 25%, Corporates 13%, NRIs 0.1%"
INE010A08156,30/06/2026,MF 100%
INE012I07090,30/06/2026,MF 100%
INE012I07108,30/06/2026,MF 100%
INE012I07116,30/06/2026,MF 100%
INE013A078S5,30/06/2026,"FPI 81%, Corporates 9.4%, AIF 8.9%, Individuals 0.5%"
INE013U08018,30/06/2026,MF 100%
INE013U08026,30/06/2026,MF 100%
INE016A08021,30/06/2026,"MF 60%, Banks 30%, Insurance 10%"
INE016P07211,30/06/2026,"Trusts 51%, Individuals 32%, Corporates 16%"
INE018A08BE9,30/06/2026,"PF/Pension 38%, MF 29%, Insurance 23%, Banks 10%"
INE018A08BF6,30/06/2026,"Insurance 74%, MF 26%, FPI 0.3%"
INE018E08367,30/06/2026,"Trusts 54%, PF/Pension 28%, Insurance 12%, Corporates 5%, Banks 0.6%, Govt 0.4%, others 0.4%"
INE019A08058,30/06/2026,"Insurance 55%, MF 40%, Banks 5%"
INE01A207146,30/06/2026,MF 100%
INE01A207179,30/06/2026,MF 100%
INE01A207187,30/06/2026,MF 100%
INE01A207195,30/06/2026,MF 100%
INE01A207203,30/06/2026,MF 100%
INE01AI07025,30/06/2026,MF 100%
INE01AI07033,30/06/2026,MF 100%
INE01EQ07095,30/06/2026,MF 100%
INE01EQ07103,30/06/2026,MF 100%
INE01HV07528,30/06/2026,"Corporates 65%, Individuals 34%, AIF 0.8%, NRIs 0.6%"
INE01HV07536,30/06/2026,"Corporates 48%, Individuals 46%, NRIs 3.9%, AIF 1.4%"
INE01HV07551,30/06/2026,"Individuals 52%, Corporates 39%, AIF 6.8%, NBFC 2.2%"
INE01HV07569,30/06/2026,"Corporates 77%, Individuals 23%"
INE01HV07577,30/06/2026,"Banks 67%, Corporates 12%, AIF 11%, Individuals 10%"
INE01HV07593,30/06/2026,"Individuals 59%, Banks 33%, Corporates 7.7%, NRIs 0.1%"
INE01HV07601,30/06/2026,"Individuals 55%, Corporates 25%, AIF 20%"
INE01HV07619,30/06/2026,"Corporates 94%, Individuals 5.9%"
INE01HV07627,30/06/2026,"Corporates 54%, Individuals 26%, AIF 19%, NRIs 0.2%"
INE01HV07635,30/06/2026,"Corporates 60%, Individuals 21%, Insurance 19%"
INE01MM08012,30/06/2026,"Trusts 59%, PF/Pension 37%, MF 2.1%, Corporates 1.2%, Individuals 0.1%"
INE01QP08016,30/06/2026,MF 100%
INE01R507058,30/06/2026,"Corporates 85%, Individuals 15%"
INE01R507066,30/06/2026,"Corporates 97%, Individuals 3.3%"
INE01R507074,30/06/2026,"NBFC 75%, Corporates 25%"
INE01TY08012,30/06/2026,"PF/Pension 50%, Corporates 26%, Trusts 19%, Govt 4%, Individuals 0.8%"
INE01WN07128,30/06/2026,"MF 85%, Corporates 15%"
INE01WN07136,30/06/2026,"Corporates 72%, MF 23%, Individuals 4.4%"
INE01XX07034,30/06/2026,"MF 75%, Insurance 15%, Banks 11%"
INE01XX07042,30/06/2026,"MF 95%, Banks 5%"
INE01XX07059,30/06/2026,MF 100%
INE01YL07326,30/06/2026,"Corporates 54%, Individuals 37%, AIF 8.3%, NBFC 0.5%, Clearing members 0.1%"
INE01YL07375,30/06/2026,"NBFC 60%, Individuals 21%, Corporates 19%"
INE01YL07391,30/06/2026,"Individuals 73%, Corporates 24%, AIF 1.8%, NRIs 0.7%, NBFC 0.2%, Clearing members 0.1%"
INE01YL07409,30/06/2026,"Individuals 59%, Corporates 33%, Clearing members 4.3%, AIF 3.3%, NRIs 0.3%"
INE01YL07417,30/06/2026,"Corporates 41%, Individuals 31%, AIF 14%, FPI 6.6%, Trusts 4.1%, NBFC 1.9%, others 0.8%"
INE01YL07433,30/06/2026,"Corporates 57%, AIF 26%, Individuals 11%, Clearing members 6.2%"
INE01YL07441,30/06/2026,"Corporates 57%, AIF 25%, Individuals 15%, Clearing members 2.5%, NBFC 0.2%, NRIs 0.1%"
INE01YL07458,30/06/2026,"Corporates 99%, Individuals 1.5%"
INE01YL07466,30/06/2026,"Banks 57%, Corporates 43%"
INE01ZK08679,30/06/2026,"Corporates 75%, Clearing members 15%, Individuals 10%"
INE020B07GH7,30/06/2026,"Individuals 67%, Corporates 26%, Banks 3.2%, NRIs 1.3%, Trusts 1.1%, Govt 0.5%, others 0.5%"
INE020B07HP8,30/06/2026,"Individuals 59%, Corporates 33%, Trusts 6%, NRIs 0.9%, Clearing members 0.6%, Banks 0.4%, others 0.1%"
INE020B08AA3,30/06/2026,"Govt 48%, MF 16%, Trusts 15%, Insurance 10%, Banks 6%, PF/Pension 2.9%, others 2.9%"
INE020B08AC9,30/06/2026,"Govt 76%, Trusts 9.3%, Insurance 5.8%, MF 5.2%, PF/Pension 2.8%, Corporates 0.5%, others 0.3%"
INE020B08AH8,30/06/2026,"Govt 56%, MF 18%, Trusts 9.2%, PF/Pension 7.5%, Banks 3.6%, Insurance 3.5%, others 2.4%"
INE020B08AQ9,30/06/2026,"Govt 72%, Trusts 13%, MF 6.9%, PF/Pension 4.8%, Insurance 2.9%, Banks 0.3%, others 0.2%"
INE020B08AX5,30/06/2026,"Insurance 29%, Trusts 25%, PF/Pension 25%, MF 9%, Govt 6%, Banks 5.5%"
INE020B08AY3,30/06/2026,"PF/Pension 41%, MF 22%, Insurance 20%, Trusts 14%, Govt 3%, Corporates 0.7%, others 0.2%"
INE020B08AZ0,30/06/2026,"Insurance 36%, PF/Pension 29%, Trusts 23%, MF 13%, Corporates 0.2%, Banks 0.1%"
INE020B08BA1,30/06/2026,"Govt 74%, Trusts 11%, Insurance 4.9%, PF/Pension 3.3%, MF 2.4%, Corporates 2%, others 1.8%"
INE020B08BC7,30/06/2026,"Trusts 41%, Govt 27%, Insurance 15%, MF 13%, Corporates 3.2%, Banks 0.3%"
INE020B08BE3,30/06/2026,"Insurance 31%, Trusts 24%, MF 20%, PF/Pension 16%, Govt 6%, Corporates 1.7%, others 0.1%"
INE020B08BG8,30/06/2026,"Trusts 43%, Insurance 25%, MF 11%, Corporates 6.9%, Banks 5%, Govt 4.9%, others 4.9%"
INE020B08BH6,30/06/2026,"Trusts 31%, MF 27%, Insurance 20%, Corporates 10%, Govt 8.8%, PF/Pension 3.2%, others 0.7%"
INE020B08BJ2,30/06/2026,"Govt 46%, Insurance 21%, PF/Pension 13%, Trusts 10%, MF 10%"
INE020B08BL8,30/06/2026,"Trusts 27%, Insurance 20%, Corporates 18%, PF/Pension 18%, Govt 11%, MF 6.7%"
