isin,yield,as_of,holders,source,mf_rating,instrument_name
IN000127C018,5.66,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 020127^
IN000130C012,6.68,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 020130^
IN000227C024,5.77,2026-07-15,HDFC; SBI; Nippon,HDFC,Sovereign,GOI STRIPS - Mat 220227^
IN000229C020,6.4363,2026-07-15,SBI,SBI,Sovereign,GOI 22.02.2029 GOV
IN000230C028,6.7,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 220230^
IN000327C048,5.78,2026-07-15,HDFC; SBI; Nippon,HDFC,Sovereign,GOI STRIPS - Mat 190327^
IN000327C055,5.7761,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 12.03.2027 GOV
IN000329C044,6.4439,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 19.03.2029 GOV
IN000329C051,6.4419,2026-07-15,SBI,SBI,Sovereign,GOI 12.03.2029 GOV
IN000330C042,6.7,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 190330^
IN000330C059,6.7,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 120330^
IN000427C020,5.81,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 100427^
IN000427C038,5.8231,2026-07-15,SBI,SBI,Sovereign,GOI 22.04.2027 GOV
IN000427C046,5.8215,2026-07-15,SBI,SBI,Sovereign,GOI 15.04.2027 GOV
IN000429C042,6.4626,2026-07-15,Nippon,Nippon,SOVEREIGN,GOI Strips (MD 15/04/2029)
IN000430C016,6.76,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 260430^
IN000430C032,6.7552,2026-07-15,SBI,SBI,Sovereign,GOI 22.04.2030 GOV
IN000430C040,6.7534,2026-07-15,Nippon,Nippon,SOVEREIGN,6.90% GOI Strips (c)-MD(15/04/30)
IN000529C023,6.4686,2026-07-15,SBI,SBI,Sovereign,GOI 06.05.2029 GOV
IN000627C033,5.95,2026-07-15,HDFC; Nippon,HDFC,Sovereign,GOI STRIPS - Mat 170627^
IN000627C041,5.9524,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 12.06.2027 GOV
IN000627C058,5.9524,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 15.06.2027 GOV
IN000627C074,5.9524,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 16.06.2027 GOV
IN000627C090,5.9532,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 19.06.2027 GOV
IN000628C031,6.3274,2026-07-15,Nippon,Nippon,SOVEREIGN,7.63% GOI (MD17/06/2059)-Strips (C)-(MD17/06/2028)
IN000628C049,6.3249,2026-07-15,SBI; Nippon,SBI,Sovereign,GOI 12.06.2028 GOV
IN000628C072,6.3269,2026-07-15,Nippon,Nippon,SOVEREIGN,GOI STRIPS (MD16/06/2028)
IN000728C013,6.3458,2026-07-15,Nippon,Nippon,SOVEREIGN,GOI STRIPS (MD 02/07/2028)
IN000826C023,5.3429,2026-07-15,SBI,SBI,Sovereign,GOI 22.08.2026 GOV
IN000926C021,5.4637,2026-07-15,SBI,SBI,Sovereign,GOI 15.09.2026 GOV
IN000926C047,5.4673,2026-07-15,SBI,SBI,Sovereign,GOI 19.09.2026 GOV
IN000926C054,5.463,2026-07-15,SBI,SBI,Sovereign,GOI 12.09.2026 GOV
IN000926C070,5.35,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 060926^
IN000926P015,5.35,2026-07-15,HDFC,HDFC,Sovereign,GOI STRIPS - Mat 060926^
IN000929C041,6.67,2026-07-15,HDFC; SBI,HDFC,Sovereign,GOI STRIPS - Mat 190929^
IN001026C011,5.5059,2026-07-15,SBI,SBI,Sovereign,GOI 26.10.2026 GOV
IN001026C037,5.5007,2026-07-15,SBI,SBI,Sovereign,GOI 22.10.2026 GOV
IN001029C049,6.6801,2026-07-15,Nippon,Nippon,SOVEREIGN,6.90% GOI Strips (c)-MD(15/10/29)
IN001126C027,5.5532,2026-07-15,SBI,SBI,Sovereign,GOI 06.11.2026 GOV
IN001128C023,6.384,2026-07-15,SBI,SBI,Sovereign,GOI 06.11.2028 GOV
IN001226C033,5.59,2026-07-15,HDFC; SBI,HDFC,Sovereign,GOI STRIPS - Mat 171226^
