isin,as_of,yield,source,holders
IN000127C018,2026-06-30,5.66,HDFC,HDFC
IN000127C018,2026-07-15,5.66,HDFC,HDFC
IN000127C018,2026-07-31,5.62,HDFC,HDFC (2)
IN000130C012,2026-06-30,6.66,HDFC,HDFC
IN000130C012,2026-07-15,6.68,HDFC,HDFC
IN000130C012,2026-07-31,6.76,HDFC,HDFC (8)
IN000227C024,2026-06-30,5.68,HDFC,HDFC; SBI; Nippon
IN000227C024,2026-07-15,5.77,HDFC,HDFC; SBI; Nippon
IN000227C024,2026-07-31,5.77,HDFC,HDFC (150); SBI (64); Nippon (39)
IN000227C024,2026-08-15,5.6995,SBI,SBI (64); Nippon (39)
IN000227C032,2026-06-30,5.6847,Axis,Axis
IN000227C032,2026-07-31,5.7696,Axis,Axis (10)
IN000227C032,2026-08-15,5.6127,Axis,Axis (10)
IN000228C030,2026-06-30,6.1347,Axis,Axis
IN000228C030,2026-07-31,6.212,Axis,Axis (10)
IN000228C030,2026-08-15,6.212,Axis,Axis (10)
IN000229C020,2026-06-30,6.3806,SBI,SBI; Aditya Birla
IN000229C020,2026-07-15,6.4363,SBI,SBI
IN000229C020,2026-07-31,6.5061,SBI,SBI (4); Aditya Birla (1)
IN000229C020,2026-08-15,6.455,SBI,SBI (4)
IN000230C028,2026-06-30,6.67,HDFC,HDFC
IN000230C028,2026-07-15,6.7,HDFC,HDFC
IN000230C028,2026-07-31,6.77,HDFC,HDFC (24)
IN000231C026,2026-06-30,6.7858,Aditya Birla,Aditya Birla; Kotak
IN000231C026,2026-07-31,6.8197,Aditya Birla,Aditya Birla (4); Kotak (23)
IN000231C026,2026-08-15,6.73,Kotak,Kotak (23)
IN000327C048,2026-06-30,5.68,HDFC,HDFC; SBI; Aditya Birla; Nippon
IN000327C048,2026-07-15,5.78,HDFC,HDFC; SBI; Nippon
IN000327C048,2026-07-31,5.77,HDFC,HDFC (26); SBI (25); Aditya Birla (101); Nippon (2)
IN000327C048,2026-08-15,5.7083,SBI,SBI (25); Nippon (2)
IN000327C055,2026-06-30,5.6847,SBI,SBI; Aditya Birla; Nippon
IN000327C055,2026-07-15,5.7761,SBI,SBI; Nippon
IN000327C055,2026-07-31,5.7704,SBI,SBI (9); Aditya Birla (38); Nippon (24)
IN000327C055,2026-08-15,5.7057,SBI,SBI (9); Nippon (24)
IN000328C046,2026-06-30,6.1967,Aditya Birla,Aditya Birla
IN000328C046,2026-07-31,6.2666,Aditya Birla,Aditya Birla (14)
IN000328C053,2026-06-30,6.1927,Aditya Birla,Aditya Birla
IN000328C053,2026-07-31,6.2635,Aditya Birla,Aditya Birla (32)
IN000329C044,2026-06-30,6.3871,SBI,SBI; Aditya Birla; Nippon
IN000329C044,2026-07-15,6.4439,SBI,SBI; Nippon
IN000329C044,2026-07-31,6.5159,SBI,SBI (3); Aditya Birla (31); Nippon (0)
IN000329C044,2026-08-15,6.456,SBI,SBI (3); Nippon (0)
IN000329C051,2026-06-30,6.3854,SBI,SBI; Aditya Birla
IN000329C051,2026-07-15,6.4419,SBI,SBI
IN000329C051,2026-07-31,6.5133,SBI,SBI (1); Aditya Birla (9)
IN000329C051,2026-08-15,6.4558,SBI,SBI (1)
IN000330C042,2026-06-30,6.68,HDFC,HDFC
IN000330C042,2026-07-15,6.7,HDFC,HDFC
IN000330C042,2026-07-31,6.77,HDFC,HDFC (66)
IN000330C059,2026-06-30,6.67,HDFC,HDFC
IN000330C059,2026-07-15,6.7,HDFC,HDFC
IN000330C059,2026-07-31,6.77,HDFC,HDFC (4)
IN000427C020,2026-06-30,5.77,HDFC,HDFC
IN000427C020,2026-07-15,5.81,HDFC,HDFC
IN000427C020,2026-07-31,5.78,HDFC,HDFC (5)
IN000427C038,2026-06-30,5.7986,SBI,SBI
IN000427C038,2026-07-15,5.8231,SBI,SBI
IN000427C038,2026-07-31,5.7778,SBI,SBI (6)
IN000427C038,2026-08-15,5.8115,SBI,SBI (6)
IN000427C046,2026-06-30,5.7818,SBI,SBI
IN000427C046,2026-07-15,5.8215,SBI,SBI
IN000427C046,2026-07-31,5.7766,SBI,SBI (14)
IN000427C046,2026-08-15,5.8105,SBI,SBI (14)
IN000428C044,2026-06-30,6.2507,Aditya Birla,Aditya Birla
IN000428C044,2026-07-31,6.2918,Aditya Birla,Aditya Birla (23)
IN000429C042,2026-06-30,6.4066,Nippon,Nippon
IN000429C042,2026-07-15,6.4626,Nippon,Nippon
IN000429C042,2026-07-31,6.5253,Nippon,Nippon (55)
IN000429C042,2026-08-15,6.4791,Nippon,Nippon (55)
IN000430C016,2026-06-30,6.68,HDFC,HDFC
IN000430C016,2026-07-15,6.76,HDFC,HDFC
IN000430C016,2026-07-31,6.78,HDFC,HDFC (20)
IN000430C032,2026-06-30,6.6742,SBI,SBI
IN000430C032,2026-07-15,6.7552,SBI,SBI
IN000430C032,2026-07-31,6.7804,SBI,SBI (1)
IN000430C032,2026-08-15,6.6762,SBI,SBI (1)
IN000430C040,2026-06-30,6.6723,Aditya Birla,Aditya Birla; Nippon
IN000430C040,2026-07-15,6.7534,Nippon,Nippon
IN000430C040,2026-07-31,6.779,Aditya Birla,Aditya Birla (12); Nippon (63)
IN000430C040,2026-08-15,6.6746,Nippon,Nippon (64)
IN000431C014,2026-06-30,6.78,Kotak,Kotak
IN000431C014,2026-07-31,6.83,Kotak,Kotak (6)
IN000431C014,2026-08-15,6.73,Kotak,Kotak (6)
IN000431C030,2026-06-30,6.78,Kotak,Kotak
IN000431C030,2026-07-31,6.83,Kotak,Kotak (19)
IN000431C030,2026-08-15,6.73,Kotak,Kotak (19)
IN000435C031,2026-06-30,7.19,HDFC,HDFC
IN000435C049,2026-06-30,7.1921,Aditya Birla,Aditya Birla
IN000435C049,2026-07-31,7.2719,Aditya Birla,Aditya Birla (15)
IN000436C039,2026-06-30,7.22,Kotak,Kotak
IN000436C039,2026-07-31,7.31,Kotak,Kotak (17)
IN000436C039,2026-08-15,7.21,Kotak,Kotak (17)
IN000436C047,2026-06-30,7.2228,Aditya Birla,Aditya Birla; Kotak
IN000436C047,2026-07-31,7.3083,Aditya Birla,Aditya Birla (33); Kotak (8)
IN000436C047,2026-08-15,7.21,Kotak,Kotak (8)
IN000437C037,2026-06-30,7.24,Kotak,Kotak
IN000437C037,2026-07-31,7.32,Kotak,Kotak (17)
IN000437C037,2026-08-15,7.26,Kotak,Kotak (17)
IN000437C045,2026-06-30,7.2412,Aditya Birla,Aditya Birla; Kotak
IN000437C045,2026-07-31,7.3202,Aditya Birla,Aditya Birla (52); Kotak (14)
IN000437C045,2026-08-15,7.26,Kotak,Kotak (14)
IN000438C035,2026-06-30,7.25,Kotak,Kotak
IN000438C035,2026-07-31,7.32,Kotak,Kotak (20)
IN000438C035,2026-08-15,7.27,Kotak,Kotak (20)
IN000438C043,2026-06-30,7.2506,Aditya Birla,Aditya Birla; Kotak
IN000438C043,2026-07-31,7.3221,Aditya Birla,Aditya Birla (29); Kotak (13)
IN000438C043,2026-08-15,7.27,Kotak,Kotak (13)
IN000439C033,2026-06-30,7.33,Kotak,Kotak
IN000439C033,2026-07-31,7.36,Kotak,Kotak (17)
IN000439C033,2026-08-15,7.3,Kotak,Kotak (17)
IN000439C041,2026-06-30,7.3269,Aditya Birla,Aditya Birla; Kotak
IN000439C041,2026-07-31,7.36,Aditya Birla,Aditya Birla (18); Kotak (12)
IN000439C041,2026-08-15,7.3,Kotak,Kotak (12)
IN000443C043,2026-06-30,7.62,Kotak,Kotak
IN000443C043,2026-07-31,7.66,Kotak,Kotak (7)
IN000444C041,2026-06-30,7.7,Kotak,Kotak
IN000444C041,2026-07-31,7.73,Kotak,Kotak (15)
IN000445C048,2026-06-30,7.78,Kotak,Kotak
IN000445C048,2026-07-31,7.8,Kotak,Kotak (14)
IN000528C025,2026-06-30,6.2626,Axis,Axis
IN000528C025,2026-07-31,6.3012,Axis,Axis (9)
IN000528C025,2026-08-15,6.2799,Axis,Axis (9)
IN000529C023,2026-06-30,6.4116,SBI,SBI
IN000529C023,2026-07-15,6.4686,SBI,SBI
IN000529C023,2026-07-31,6.5329,SBI,SBI (3)
IN000529C023,2026-08-15,6.4799,SBI,SBI (3)
IN000530C021,2026-06-30,6.6847,Aditya Birla,Aditya Birla
IN000530C021,2026-07-31,6.7832,Aditya Birla,Aditya Birla (39)
IN000530C039,2026-06-30,6.6938,Aditya Birla,Aditya Birla
IN000530C039,2026-07-31,6.7869,Aditya Birla,Aditya Birla (12)
IN000534C023,2026-06-30,7.15,Kotak,Kotak
IN000534C023,2026-07-31,7.23,Kotak,Kotak (18)
IN000534C023,2026-08-15,7.13,Kotak,Kotak (18)
IN000535C020,2026-06-30,7.19,HDFC,HDFC; Kotak
IN000535C020,2026-07-31,7.27,Kotak,Kotak (6)
IN000535C020,2026-08-15,7.19,Kotak,Kotak (6)
IN000536C028,2026-06-30,7.22,Kotak,Kotak
IN000536C028,2026-07-31,7.31,Kotak,Kotak (3)
IN000536C028,2026-08-15,7.21,Kotak,Kotak (3)
IN000537C018,2026-06-30,7.24,Kotak,Kotak
IN000537C018,2026-07-31,7.32,Kotak,Kotak (22)
IN000537C018,2026-08-15,7.26,Kotak,Kotak (22)
IN000537C026,2026-06-30,7.24,Kotak,Kotak
IN000537C026,2026-07-31,7.32,Kotak,Kotak (10)
IN000537C026,2026-08-15,7.26,Kotak,Kotak (10)
IN000538C016,2026-06-30,7.25,Kotak,Kotak
IN000538C016,2026-07-31,7.32,Kotak,Kotak (20)
IN000538C016,2026-08-15,7.27,Kotak,Kotak (20)
IN000538C024,2026-06-30,7.25,Kotak,Kotak
IN000538C024,2026-07-31,7.32,Kotak,Kotak (9)
IN000538C024,2026-08-15,7.27,Kotak,Kotak (9)
IN000539C022,2026-06-30,7.34,Kotak,Kotak
IN000539C022,2026-07-31,7.37,Kotak,Kotak (2)
IN000539C022,2026-08-15,7.31,Kotak,Kotak (2)
IN000540C020,2026-06-30,7.46,Kotak,Kotak
IN000540C020,2026-07-31,7.49,Kotak,Kotak (2)
