isin,yield,as_of,source,trade_value_cr
INE002A07809,7.37,2026-07-29,NSE,25.0
INE002A08542,7.15,2026-07-29,NSE,10.0
INE002A08567,6.95,2026-07-01,NSE,25.0
INE002A08690,7.14,2026-07-30,NSE,50.0
INE002L08010,11.9099,2026-07-20,NSE,7.0
INE003L07200,12.75,2026-07-23,BSE,2.98
INE00DJ07052,12.2413,2026-07-29,BSE,2.44
INE00GW07017,24.0,2026-07-10,BSE,44.0
INE00K807019,14.0,2026-07-30,BSE,13.5
INE00MX08086,9.15,2026-07-23,BSE,2.5
INE00XL07015,10.2631,2026-07-24,BSE,1.11
INE013A078S5,15.0,2026-07-24,BSE,25.0
INE013U08026,9.25,2026-07-13,NSE,100.0
INE016P07211,9.48,2026-07-23,NSE,4.38
INE018A08BE9,7.2333,2026-07-30,NSE,60.0
INE018E08367,7.7207,2026-07-21,BSE,1.0
INE01CYA7435,15.0929,2026-07-23,NSE,1.13
INE01HV07528,10.0592,2026-07-16,BSE,1.83
INE01HV07536,11.25,2026-07-16,BSE,1.75
INE01HV07551,9.95,2026-07-30,NSE,1.15
INE01HV07569,11.8039,2026-07-13,BSE,1.0
INE01HV07577,10.5344,2026-07-22,NSE,9.85
INE01HV07593,10.2405,2026-07-06,NSE,2.65
INE01HV07601,10.4,2026-07-30,NSE,1.44
INE01HV07619,9.1,2026-07-06,BSE,5.0
INE01HV07627,10.1997,2026-07-30,BSE,3.2
INE01HV07635,10.45,2026-07-23,BSE,19.0
INE01QP08016,8.3,2026-07-30,NSE,25.0
INE01R507058,13.5,2026-07-08,BSE,3.0
INE01R507066,12.6667,2026-07-29,BSE,7.5
INE01R507074,12.0,2026-07-07,BSE,3.0
INE01R507082,12.7728,2026-07-01,BSE,20.0
INE01TY08012,8.2546,2026-07-20,NSE,15.0
INE01WN07136,8.11,2026-07-30,BSE,10.0
INE01XO07074,11.6876,2026-07-30,NSE,1.95
INE01XX07034,7.46,2026-07-09,NSE,100.0
INE01XX07059,7.55,2026-07-09,NSE,25.0
INE01YL07326,10.545,2026-07-27,BSE,12.78
INE01YL07375,12.2025,2026-07-28,BSE,53.82
INE01YL07391,11.25,2026-07-27,BSE,1.5
INE01YL07409,10.9332,2026-07-28,BSE,22.4
INE01YL07417,11.2757,2026-07-30,BSE,19.0
INE01YL07433,10.9984,2026-07-30,BSE,20.38
INE01YL07441,11.3669,2026-07-28,NSE,2.24
INE01YL07458,11.4728,2026-07-30,BSE,15.05
INE01ZK08679,11.0,2026-07-07,BSE,1.5
INE020B07GH7,6.818,2026-07-24,BSE,5.0
INE020B07HP8,5.48,2026-07-29,BSE,1.0
INE020B08AA3,7.1588,2026-07-08,NSE,20.0
